date,global_vaccinations,Change
02/12/2020,0,0
03/12/2020,3,3
04/12/2020,6,3
05/12/2020,9,3
06/12/2020,12,3
07/12/2020,15,3
08/12/2020,18,3
09/12/2020,22,4
10/12/2020,26,4
11/12/2020,42,16
12/12/2020,46,4
13/12/2020,49,3
14/12/2020,18800,18751
15/12/2020,211075,192275
16/12/2020,1432616,1221541
17/12/2020,3118925,1686309
18/12/2020,5384678,2265753
19/12/2020,6693422,1308744
20/12/2020,7723527,1030105
21/12/2020,9969337,2245810
22/12/2020,12544970,2575633
23/12/2020,15907332,3362362
24/12/2020,17846588,1939256
25/12/2020,18859893,1013305
26/12/2020,20353362,1493469
27/12/2020,21988265,1634903
28/12/2020,25881874,3893609
29/12/2020,30695454,4813580
30/12/2020,36287349,5591895
31/12/2020,40036126,3748777
01/01/2021,42813550,2777424
02/01/2021,46505406,3691856
03/01/2021,49682749,3177343
04/01/2021,55771156,6088407
05/01/2021,63010121,7238965
06/01/2021,70895906,7885785
07/01/2021,79807914,8912008
08/01/2021,89196178,9388264
09/01/2021,94961259,5765081
10/01/2021,98441142,3479883
11/01/2021,106966461,8525319
12/01/2021,117160389,10193928
13/01/2021,129013485,11853096
14/01/2021,143939100,14925615
15/01/2021,158387553,14448453
16/01/2021,168416828,10029275
17/01/2021,175492343,7075515
18/01/2021,187544179,12051836
19/01/2021,202856717,15312538
20/01/2021,219409916,16553199
21/01/2021,238741658,19331742
22/01/2021,258601465,19859807
23/01/2021,272665329,14063864
24/01/2021,282437592,9772263
25/01/2021,300252251,17814659
26/01/2021,319344484,19092233
27/01/2021,337595873,18251389
28/01/2021,358057982,20462109
29/01/2021,378646752,20588770
30/01/2021,391823010,13176258
31/01/2021,399976682,8153672
01/02/2021,421754387,21777705
02/02/2021,445519681,23765294
03/02/2021,473440552,27920871
04/02/2021,500987864,27547312
05/02/2021,527095462,26107598
06/02/2021,545676870,18581408
07/02/2021,556781785,11104915
08/02/2021,578227895,21446110
09/02/2021,602609791,24381896
10/02/2021,627979545,25369754
11/02/2021,654072316,26092771
12/02/2021,682844840,28772524
