date,cases,deaths,death_percentage,global_vaccinations
01/01/2020,NULL,NULL,NULL,NULL
02/01/2020,NULL,NULL,NULL,NULL
03/01/2020,NULL,NULL,NULL,NULL
04/01/2020,NULL,NULL,NULL,NULL
05/01/2020,NULL,NULL,NULL,NULL
06/01/2020,NULL,NULL,NULL,NULL
07/01/2020,NULL,NULL,NULL,NULL
08/01/2020,NULL,NULL,NULL,NULL
09/01/2020,NULL,NULL,NULL,NULL
10/01/2020,NULL,NULL,NULL,NULL
11/01/2020,NULL,NULL,NULL,NULL
12/01/2020,NULL,NULL,NULL,NULL
13/01/2020,NULL,NULL,NULL,NULL
14/01/2020,NULL,NULL,NULL,NULL
15/01/2020,NULL,NULL,NULL,NULL
16/01/2020,NULL,NULL,NULL,NULL
17/01/2020,NULL,NULL,NULL,NULL
18/01/2020,NULL,NULL,NULL,NULL
19/01/2020,NULL,NULL,NULL,NULL
20/01/2020,NULL,NULL,NULL,NULL
21/01/2020,NULL,NULL,NULL,NULL
22/01/2020,2228,68,3.052064632,NULL
23/01/2020,2628,72,2.739726027,NULL
24/01/2020,3778,104,2.752779248,NULL
25/01/2020,5751,168,2.92123109,NULL
26/01/2020,8483,224,2.640575268,NULL
27/01/2020,11720,328,2.798634812,NULL
28/01/2020,22328,524,2.346829094,NULL
29/01/2020,24686,532,2.15506765,NULL
30/01/2020,32958,684,2.075368651,NULL
31/01/2020,39721,852,2.144961104,NULL
01/02/2020,48171,1036,2.150671566,NULL
02/02/2020,67169,1448,2.155756376,NULL
03/02/2020,79571,1704,2.141483706,NULL
04/02/2020,95620,1968,2.058146831,NULL
05/02/2020,110600,2256,2.039783002,NULL
06/02/2020,123248,2536,2.057639881,NULL
07/02/2020,137504,2876,2.091575518,NULL
08/02/2020,148433,3224,2.172023741,NULL
09/02/2020,160553,3624,2.257198557,NULL
10/02/2020,170847,4052,2.371712702,NULL
11/02/2020,179022,4452,2.486845192,NULL
12/02/2020,180614,4472,2.475998538,NULL
13/02/2020,241222,5484,2.27342448,NULL
14/02/2020,267248,6092,2.279530623,NULL
15/02/2020,275687,6665,2.417596767,NULL
16/02/2020,284279,7081,2.49086285,NULL
17/02/2020,292221,7473,2.557311076,NULL
18/02/2020,299573,8033,2.681483311,NULL
19/02/2020,301415,8493,2.817709802,NULL
20/02/2020,303633,8989,2.960481898,NULL
21/02/2020,306170,9006,2.941503087,NULL
22/02/2020,313260,9835,3.139564579,NULL
23/02/2020,314768,9878,3.138184314,NULL
24/02/2020,317114,10522,3.31804966,NULL
25/02/2020,320632,10845,3.382382295,NULL
26/02/2020,324644,11090,3.41604958,NULL
27/02/2020,330255,11267,3.411606183,NULL
28/02/2020,336266,11503,3.420803768,NULL
29/02/2020,344076,11791,3.426859182,NULL
01/03/2020,354300,12012,3.390347163,NULL
02/03/2020,362714,12387,3.415087369,NULL
03/03/2020,373774,12712,3.400985622,NULL
04/03/2020,383948,13121,3.417389855,NULL
05/03/2020,395989,13538,3.418781835,NULL
06/03/2020,413267,14044,3.398287306,NULL
07/03/2020,431821,14513,3.360883329,NULL
08/03/2020,449505,15618,3.474488604,NULL
09/03/2020,469848,16494,3.510497012,NULL
10/03/2020,491706,17783,3.616592029,NULL
11/03/2020,526048,19399,3.687686295,NULL
12/03/2020,557257,20833,3.738490499,NULL
13/03/2020,619006,23151,3.740028368,NULL
14/03/2020,669703,25114,3.750020531,NULL
15/03/2020,721921,28186,3.904305319,NULL
16/03/2020,790148,31395,3.973306267,NULL
17/03/2020,859910,35207,4.094265679,NULL
18/03/2020,940555,39464,4.195820553,NULL
19/03/2020,1065639,44682,4.192977171,NULL
20/03/2020,1199809,51766,4.314520061,NULL
21/03/2020,1348484,59996,4.449144372,NULL
22/03/2020,1501679,67980,4.526932853,NULL
23/03/2020,1693944,77291,4.562783658,NULL
24/03/2020,1882492,88204,4.685491359,NULL
25/03/2020,2115251,101508,4.798863114,NULL
26/03/2020,2387454,115640,4.843653532,NULL
27/03/2020,2672540,131814,4.932161913,NULL
28/03/2020,2982427,149528,5.013634869,NULL
29/03/2020,3233638,165596,5.121043234,NULL
30/03/2020,3519614,184260,5.235233182,NULL
31/03/2020,3863619,205947,5.330416897,NULL
01/04/2020,4219747,233469,5.532772462,NULL
02/04/2020,4577161,259991,5.680180356,NULL
03/04/2020,4944351,288047,5.825779764,NULL
04/04/2020,5192926,314685,6.059878381,NULL
05/04/2020,5504017,338234,6.145220845,NULL
06/04/2020,5821875,364203,6.255768116,NULL
07/04/2020,6112357,401245,6.564488952,NULL
08/04/2020,6464812,431128,6.668840486,NULL
09/04/2020,6836974,466108,6.817460473,NULL
10/04/2020,7207583,499468,6.929757174,NULL
11/04/2020,7530741,528049,7.011912905,NULL
12/04/2020,8074416,553494,6.854910621,NULL
13/04/2020,8378401,579829,6.920520992,NULL
14/04/2020,8745550,611003,6.986444535,NULL
15/04/2020,9077633,648161,7.140198331,NULL
16/04/2020,9488456,680949,7.176604919,NULL
17/04/2020,9860287,718035,7.282090268,NULL
18/04/2020,10190651,745555,7.316068424,NULL
19/04/2020,10516223,769183,7.314251514,NULL
20/04/2020,10832758,794671,7.335814204,NULL
21/04/2020,11153637,826520,7.410318267,NULL
22/04/2020,11498431,857059,7.453703901,NULL
23/04/2020,11842144,886909,7.489429279,NULL
24/04/2020,12181956,916915,7.526829025,NULL
25/04/2020,12529283,942590,7.523096094,NULL
26/04/2020,12823141,961005,7.494302683,NULL
27/04/2020,13118122,982156,7.487016815,NULL
28/04/2020,13432471,1011024,7.526716417,NULL
29/04/2020,13749919,1040808,7.569557319,NULL
30/04/2020,14094196,1066714,7.568462933,NULL
01/05/2020,14459327,1089906,7.537736715,NULL
02/05/2020,14779964,1115108,7.544727443,NULL
03/05/2020,15082427,1131391,7.501385553,NULL
04/05/2020,15397713,1150132,7.469498879,NULL
05/05/2020,15723190,1176504,7.482603721,NULL
06/05/2020,16096172,1205267,7.48791079,NULL
07/05/2020,16459016,1229256,7.46858743,NULL
08/05/2020,16828771,1254419,7.454014319,NULL
09/05/2020,17173260,1273826,7.417496736,NULL
10/05/2020,17479124,1290650,7.383951278,NULL
11/05/2020,17789718,1306795,7.345788168,NULL
12/05/2020,18137329,1331483,7.341119522,NULL
13/05/2020,18480094,1354320,7.328534151,NULL
14/05/2020,18868961,1378047,7.303247911,NULL
15/05/2020,19259855,1401826,7.27848678,NULL
16/05/2020,19640635,1420668,7.233309921,NULL
17/05/2020,19957591,1435791,7.194209963,NULL
18/05/2020,20317837,1452835,7.150539696,NULL
19/05/2020,20704563,1473550,7.117030193,NULL
20/05/2020,21131271,1495903,7.079096189,NULL
21/05/2020,21559793,1516313,7.033059176,NULL
22/05/2020,21994725,1540249,7.002810901,NULL
23/05/2020,22416703,1558263,6.951347841,NULL
24/05/2020,22792555,1572457,6.898993992,NULL
25/05/2020,23147401,1576921,6.812518606,NULL
26/05/2020,23521030,1596124,6.785944323,NULL
27/05/2020,23934468,1618034,6.760267243,NULL
28/05/2020,24423232,1638675,6.70949283,NULL
29/05/2020,24915164,1659805,6.661826509,NULL
30/05/2020,25462203,1677362,6.58765465,NULL
31/05/2020,25876789,1690143,6.531502035,NULL
01/06/2020,26280774,1704861,6.487103462,NULL
02/06/2020,26773888,1726351,6.447890572,NULL
03/06/2020,27219422,1749414,6.427079899,NULL
04/06/2020,27781005,1771606,6.377040715,NULL
05/06/2020,28320374,1792515,6.329418531,NULL
06/06/2020,28842361,1809266,6.272946934,NULL
07/06/2020,29289683,1821979,6.220548717,NULL
08/06/2020,29704869,1839598,6.192917397,NULL
09/06/2020,30212650,1860357,6.157543281,NULL
10/06/2020,30765456,1882370,6.118453112,NULL
11/06/2020,31314616,1902944,6.076855613,NULL
12/06/2020,31829105,1922085,6.038765463,NULL
13/06/2020,32368980,1939925,5.993160736,NULL
14/06/2020,32899671,1954716,5.941445433,NULL
15/06/2020,33401745,1970808,5.90031449,NULL
16/06/2020,33981114,1999577,5.884377422,NULL
