location,total_deaths,total_deaths_per_million,mortality_percentage
Afghanistan,7751,193.294,4.164517516
Albania,3550,1243.559,1.132080285
Algeria,6876,155.643,2.568959527
Andorra,155,1961.181,0.340599455
Angola,1912,55.414,1.868994438
Anguilla,10,634.8,0.279329609
Antigua and Barbuda,144,1544.733,1.641399749
Argentina,129369,2857.292,1.353188763
Armenia,8635,3093.902,2.023200617
Aruba,271,2543.741,0.641921501
Australia,12026,463.947,0.126360376
Austria,20366,2282.651,0.424351253
Azerbaijan,9752,945.603,1.219806597
Bahamas,822,2015.17,2.237952627
Bahrain,1510,1031.939,0.228566239
Bangladesh,29295,172.979,1.460373989
Barbados,495,1760.313,0.535042587
Belarus,7118,743.148,0.716069925
Belgium,32263,2778.558,0.729074227
Belize,680,1699.868,1.013246711
Benin,163,12.541,0.596719871
Bermuda,144,2243.515,0.837550166
Bhutan,21,27.01,0.03469354
Bolivia,22072,1827.232,2.107719839
Bonaire Sint Eustatius and Saba,37,1385.456,0.341517445
Bosnia and Herzegovina,15868,4851.2,4.110753034
Botswana,2770,1070.15,0.851076904
Brazil,679010,3168.114,2.003545072
British Virgin Islands,63,2024.291,0.883466554
Brunei,225,505.195,0.106930524
Bulgaria,37414,5433.447,3.087656636
Burkina Faso,387,17.511,1.831692541
Burundi,38,3.028,0.082338411
Cambodia,3056,184.218,2.232808253
Cameroon,1931,70.996,1.606288733
Canada,42969,1126.169,1.04818443
Cape Verde,410,697.368,0.659460851
Cayman Islands,29,425.619,0.099625545
Central African Republic,113,20.707,0.764960737
Chad,193,11.234,2.595132446
Chile,59629,3058.967,1.402027154
China,5226,3.665,0.576281167
Colombia,140845,2733.975,2.247838184
Comoros,161,195.953,1.933005163
Congo,386,66.143,1.5580222
Cook Islands,1,58.813,0.016369291
Costa Rica,8740,1695.784,0.83685614
Cote d'Ivoire,811,29.514,0.949159684
Croatia,16336,4023.512,1.375286764
Cuba,8529,757.704,0.76958406
Curacao,282,1481.575,0.624903051
Cyprus,1115,1244.41,0.198077494
Czechia,40518,3854.91,1.015083197
Democratic Republic of Congo,1390,14.495,1.508033806
Denmark,6682,1141.395,0.206516552
Djibouti,189,170.955,1.20458891
Dominica,68,939.071,0.457850795
Dominican Republic,4383,394.23,0.696108747
Ecuador,35801,2011.548,3.715076147
Egypt,24775,226.748,4.804662122
El Salvador,4201,665.329,2.201574275
Equatorial Guinea,183,111.963,1.093124664
Eritrea,103,28.451,1.022433988
Estonia,2628,1977.872,0.444386576
Eswatini,1417,1188.488,1.933573495
Ethiopia,7568,62.918,1.537224059
Faeroe Islands,28,529.421,0.080789428
Falkland Islands,NULL,NULL,NULL
Fiji,873,944.182,1.290027042
Finland,5012,905.348,0.427997821
France,152349,2259.633,0.448307826
French Polynesia,649,2134.644,0.86028632
Gabon,306,130.703,0.63078477
Gambia,368,139.398,3.037556748
Georgia,16859,4486.187,0.999811412
Germany,144360,1730.758,0.465009096
Ghana,1457,44.376,0.866606791
Gibraltar,105,3213.958,0.526632561
Greece,31377,3003.916,0.701222183
Greenland,21,373.38,0.175423941
Grenada,234,1877.859,1.245608432
Guam,NULL,NULL,NULL
Guatemala,19064,1082.66,1.824454621
Guernsey,NULL,NULL,NULL
Guinea,445,32.885,1.189585115
Guinea-Bissau,174,84.436,2.061611374
Guyana,1271,1579.732,1.819717665
Haiti,876,76.523,2.714427367
Honduras,10971,1067.39,2.48033659
Hong Kong,9520,1270.252,0.698781756
Hungary,46790,4818.85,2.380587754
