location,avg_stringency_index,population_density,median_age,cadriovasc_death_rate,mortality_percentage
Afghanistan,32.81122007,54.422,18.6,597.029,4.164517516
Albania,51.84367206,104.871,38,304.195,1.132080285
Algeria,61.06625571,17.348,29.1,278.364,2.568959527
Andorra,41.30727586,163.755,NULL,109.135,0.340599455
Angola,61.4941816,23.89,16.8,276.045,1.868994438
Anguilla,NULL,NULL,NULL,NULL,0.279329609
Antigua and Barbuda,NULL,231.845,32.1,191.511,1.641399749
Argentina,61.19176407,16.177,31.9,191.032,1.353188763
Armenia,NULL,102.931,35.7,341.01,2.023200617
Aruba,43.36527357,584.8,41.2,NULL,0.641921501
Australia,54.88398455,3.202,37.9,107.791,0.126360376
Austria,54.84761416,106.749,44.4,145.183,0.424351253
Azerbaijan,65.9489667,119.309,32.4,559.812,1.219806597
Bahamas,61.66978972,39.497,34.3,235.954,2.237952627
Bahrain,44.67155074,1935.907,32.4,151.689,0.228566239
Bangladesh,66.09461806,1265.036,27.5,298.003,1.460373989
Barbados,56.56115789,664.463,39.8,170.05,0.535042587
Belarus,28.90696449,46.858,40.3,443.129,0.716069925
Belgium,46.86040134,375.564,41.8,114.898,0.729074227
Belize,64.09053004,16.426,25,176.957,1.013246711
Benin,39.07058754,99.11,18.8,235.848,0.596719871
Bermuda,46.0779645,1308.82,NULL,139.547,0.837550166
Bhutan,62.70964203,21.188,28.6,217.066,0.03469354
Bolivia,49.10803717,10.202,25.4,204.299,2.107719839
Bonaire Sint Eustatius and Saba,NULL,NULL,NULL,NULL,0.341517445
Bosnia and Herzegovina,43.89480969,68.496,42.5,329.635,4.110753034
Botswana,45.52195962,4.044,25.8,237.372,0.851076904
Brazil,60.37212571,25.04,33.5,177.961,2.003545072
British Virgin Islands,NULL,207.973,NULL,NULL,0.883466554
Brunei,46.51132097,81.347,32.4,201.285,0.106930524
Bulgaria,42.52645833,65.18,44.7,424.688,3.087656636
Burkina Faso,26.0937703,70.151,17.6,269.048,1.831692541
Burundi,14.97129608,423.062,17.5,293.068,0.082338411
Cambodia,51.92255249,90.672,25.6,270.892,2.232808253
Cameroon,36.99046189,50.885,18.8,244.661,1.606288733
Canada,58.60105611,4.037,41.4,105.599,1.04818443
Cape Verde,56.76774732,135.58,25.7,182.219,0.659460851
Cayman Islands,NULL,256.496,NULL,NULL,0.099625545
Central African Republic,29.01226371,7.479,18.3,435.727,0.764960737
Chad,42.91794842,11.833,16.7,280.995,2.595132446
Chile,60.15481777,24.282,35.4,127.993,1.402027154
China,72.01886813,147.674,38.7,261.899,0.576281167
Colombia,59.96393764,44.223,32.2,124.24,2.247838184
Comoros,NULL,437.352,20.4,261.516,1.933005163
Congo,50.36226792,15.405,19,344.094,1.5580222
Cook Islands,NULL,NULL,NULL,NULL,0.016369291
Costa Rica,51.92974596,96.079,33.6,137.973,0.83685614
Cote d'Ivoire,28.94205848,76.399,18.7,303.74,0.949159684
Croatia,41.14052511,73.726,44,253.782,1.375286764
Cuba,58.87097418,110.408,43.1,190.968,0.76958406
Curacao,NULL,362.644,41.7,NULL,0.624903051
Cyprus,56.12199766,127.657,37.3,141.171,0.198077494
Czechia,46.39949483,137.176,43.3,227.485,1.015083197
Democratic Republic of Congo,42.98063879,35.879,17,318.949,1.508033806
Denmark,41.18969967,136.52,42.3,114.767,0.206516552
Djibouti,50.46633489,41.285,25.4,258.037,1.20458891
Dominica,44.81557007,98.567,NULL,227.376,0.457850795
Dominican Republic,55.55221965,222.873,27.6,266.653,0.696108747
Ecuador,59.173938,66.939,28.1,140.448,3.715076147
Egypt,51.72243517,97.999,25.3,525.432,4.804662122
El Salvador,48.1423095,307.811,27.6,167.295,2.201574275
Equatorial Guinea,NULL,45.194,22.4,202.812,1.093124664
Eritrea,NULL,44.304,19.3,311.11,1.022433988
Estonia,37.13998886,31.033,42.7,255.569,0.444386576
Eswatini,58.86553613,79.492,21.5,333.436,1.933573495
Ethiopia,50.86577416,104.957,19.8,182.634,1.537224059
Faeroe Islands,32.67243088,35.308,NULL,NULL,0.080789428
Falkland Islands,NULL,NULL,NULL,NULL,NULL
Fiji,57.94067627,49.562,28.6,412.82,1.290027042
Finland,39.28893688,18.136,42.8,153.507,0.427997821
France,48.85986784,122.578,42,86.06,0.448307826
French Polynesia,NULL,77.324,32.7,NULL,0.86028632
Gabon,57.57461538,7.859,23.1,259.967,0.63078477
Gambia,40.31459268,207.566,17.5,331.43,3.037556748
Georgia,54.57633721,65.032,38.7,496.218,0.999811412
Germany,54.20089602,237.016,46.6,156.139,0.465009096
Ghana,46.92789965,126.719,21.1,298.245,0.866606791
Gibraltar,NULL,3457.1,NULL,NULL,0.526632561
Greece,63.20577449,83.479,45.3,175.695,0.701222183
Greenland,36.9139486,0.137,NULL,199.941,0.175423941
Grenada,29.42045977,317.132,29.4,243.964,1.245608432
Guam,NULL,304.128,31.4,310.496,NULL
Guatemala,59.16863122,157.834,22.9,155.898,1.824454621
Guernsey,NULL,NULL,NULL,NULL,NULL
Guinea,57.98988359,51.755,19,336.717,1.189585115
Guinea-Bissau,NULL,66.191,19.4,382.474,2.061611374
Guyana,61.7540814,3.952,26.3,373.159,1.819717665
Haiti,48.73040097,398.448,24.3,430.548,2.714427367
Honduras,70.08479675,82.805,24.9,240.208,2.48033659
Hong Kong,61.67556656,7039.714,44.8,NULL,0.698781756
Hungary,43.76223121,108.043,43.4,278.296,2.380587754
Iceland,35.81586483,3.404,37.3,117.992,0.088394189
India,65.29407982,450.419,28.2,282.28,1.194715501
Indonesia,62.283,145.725,29.3,342.864,2.525938126
Iran,63.63352608,49.831,32.4,270.308,1.918118238
Iraq,67.50698974,88.125,20,218.612,1.034556593
Ireland,51.12707569,69.874,38.7,126.459,0.466802014
Isle of Man,NULL,147.872,NULL,NULL,0.302419355
Israel,51.54908059,402.606,30.6,93.32,0.248382918
Italy,59.9518313,205.859,47.9,113.151,0.816094226
Jamaica,65.67746806,266.879,31.4,206.537,2.180277192
Japan,42.39065934,347.778,48.2,79.37,0.250166074
Jersey,NULL,NULL,NULL,NULL,NULL
Jordan,51.13034522,109.285,23.2,208.257,0.821024476
Kazakhstan,63.99749709,6.681,30.6,466.792,1.317229933
Kenya,59.15071594,87.324,20,218.637,1.679651987
Kiribati,39.85091121,143.701,23.2,434.657,0.379008746
Kosovo,53.54525641,168.155,NULL,NULL,1.239771203
Kuwait,58.76642694,232.128,33.7,132.235,0.39144601
Kyrgyzstan,54.1454918,32.333,26.3,436.362,1.46778816
Laos,52.83678066,29.715,24.4,368.111,0.358131283
Latvia,44.13317714,31.212,43.9,350.06,0.681151086
Lebanon,62.04525,594.561,31.1,266.591,0.895280404
Lesotho,51.53079897,73.562,22.2,405.126,2.062279671
Liberia,51.63607728,49.127,19.2,272.509,3.90023879
Libya,66.55071429,3.623,29,341.862,1.273472912
Liechtenstein,42.00307602,237.012,NULL,NULL,0.45851994
Lithuania,40.75963658,45.135,43.5,342.989,0.776833001
Luxembourg,44.23156214,231.447,39.7,128.275,0.393384913
Macao,32.74235165,20546.766,39.2,NULL,0.758533502
Madagascar,49.89200708,43.951,19.6,405.994,2.117579823
Malawi,46.24772242,197.519,18.1,227.349,3.048836252
Malaysia,61.03903084,96.254,29.9,260.942,0.767684913
Maldives,NULL,1454.433,30.6,164.905,0.166409193
Mali,45.66144038,15.196,16.4,268.024,2.366314441
Malta,47.97618224,1454.037,42.4,168.711,0.702822798
Marshall Islands,NULL,295.15,NULL,557.793,NULL
Mauritania,43.69694639,4.289,20.3,232.347,1.584867076
Mauritius,42.7973913,622.962,37.4,224.644,0.413722687
Mexico,47.92108342,66.444,29.3,152.783,4.83390781
Micronesia (country),NULL,150.777,23,454.343,0.183688464
Moldova,50.34957597,123.655,37.6,408.502,2.181188191
Monaco,48.96739535,19347.5,NULL,NULL,0.431736146
Mongolia,50.33853601,1.98,28.6,460.043,0.223423986
Montenegro,NULL,46.28,39.1,387.305,1.053155828
Montserrat,NULL,NULL,NULL,NULL,0.759013283
Morocco,62.69823663,80.08,29.6,419.146,1.287515884
Mozambique,53.10859927,37.728,17.7,329.942,0.964624624
Myanmar,73.01907692,81.721,29.1,202.104,3.164486882
Namibia,44.20991696,3.078,22,243.811,2.405865775
Nauru,NULL,682.45,NULL,NULL,NULL
Nepal,57.26066152,204.43,25,260.797,1.211658569
Netherlands,51.06655963,508.544,43.2,109.361,0.270419051
New Caledonia,NULL,15.342,33.4,NULL,0.442646292
New Zealand,40.65969072,18.206,37.9,128.797,0.097127614
Nicaragua,10.83760844,51.667,27.3,137.016,1.647869251
Niger,24.69807512,16.955,15.1,238.339,3.412332675
Nigeria,51.20668958,209.588,18.1,181.013,1.2039484
Niue,NULL,NULL,NULL,NULL,NULL
North Korea,NULL,211.701,35.3,321.681,600
North Macedonia,NULL,82.6,39.1,322.688,2.850195292
Northern Cyprus,NULL,NULL,NULL,NULL,NULL
Northern Mariana Islands,NULL,119.878,NULL,194.994,NULL
Norway,42.20345538,14.462,39.7,114.316,0.248786624
Oman,57.41811859,14.98,30.7,266.342,1.169463558
Pakistan,57.40755708,255.573,23.5,423.031,1.959529569
Palau,NULL,47.237,NULL,NULL,0.113036925
Palestine,62.07735012,778.202,20.4,265.91,0.823077424
Panama,61.46330178,55.133,29.7,128.346,0.882782236
Papua New Guinea,52.12954225,18.22,22.6,561.494,1.480009822
Paraguay,52.69616185,17.144,26.5,199.128,2.718109938
Peru,69.71867206,25.129,29.1,85.755,5.464347317
Philippines,63.82487805,351.873,25.2,370.437,1.605917487
Pitcairn,NULL,NULL,NULL,NULL,NULL
Poland,47.72004608,124.027,41.8,227.331,1.918917064
Portugal,52.89064368,112.371,46.2,127.842,0.460534605
Puerto Rico,NULL,376.232,38.2,108.094,NULL
Qatar,59.24380734,227.322,31.9,176.69,0.165867773
Romania,49.79874286,85.129,43,370.946,2.144068663
Russia,46.29559378,8.823,39.6,431.297,2.042219919
Rwanda,62.21508159,494.869,20.3,191.375,1.108364142
Saint Helena,NULL,NULL,NULL,NULL,NULL
Saint Kitts and Nevis,NULL,212.865,NULL,NULL,0.711633663
Saint Lucia,NULL,293.187,34.9,204.62,1.376671673
Saint Pierre and Miquelon,NULL,NULL,NULL,NULL,0.032435939
Saint Vincent and the Grenadines,NULL,281.787,31.8,252.675,1.217317667
Samoa,NULL,69.413,22,348.977,0.188250568
San Marino,45.75357798,556.667,NULL,NULL,0.591715976
Sao Tome and Principe,NULL,212.841,18.7,270.113,1.226492232
Saudi Arabia,54.78831034,15.322,31.9,259.538,1.14232887
Senegal,35.71378007,82.328,18.7,241.219,2.273429013
Serbia,45.04871972,80.291,41.2,439.415,0.762938493
Seychelles,55.84068235,208.354,36.2,242.648,0.368906456
Sierra Leone,46.47386445,104.7,19.1,325.721,1.616239979
Singapore,47.46762376,7915.731,42.4,92.243,0.08814369
Sint Maarten (Dutch part),NULL,1209.088,NULL,NULL,NULL
Slovakia,48.13177033,113.128,41.2,287.959,0.783338038
Slovenia,47.99494822,102.619,44.5,153.493,0.616935629
Solomon Islands,42.18083591,21.841,20.8,459.78,0.710174527
Somalia,37.44116822,23.5,16.8,365.769,5.037009623
South Africa,51.63135347,46.754,27.3,200.38,2.546650002
South Korea,47.69458613,527.967,43.4,85.998,0.125222512
South Sudan,48.37157895,NULL,19.2,280.775,0.776152981
Spain,52.59687778,93.105,45.5,99.403,0.835867684
Sri Lanka,56.50125967,341.955,34.1,197.093,2.487521848
Sudan,35.48996508,23.258,19.7,431.388,7.860608175
Suriname,65.34251748,3.612,29.6,258.314,1.704082389
Sweden,42.65228285,24.718,41,133.982,0.762211508
Switzerland,41.77408676,214.243,43.1,99.739,0.349894855
Syria,44.24607059,NULL,21.7,376.264,5.586493101
Taiwan,31.4394214,NULL,42.2,103.957,0.194326462
Tajikistan,32.91770756,64.281,23.3,427.698,0.702799955
Tanzania,17.68928738,64.699,17.7,217.288,2.242068782
Thailand,48.77618534,135.132,40.1,109.861,0.684490289
Timor,44.86081464,87.176,18,335.346,0.57778357
Togo,46.62726959,143.366,19.4,280.033,0.734830989
Tokelau,NULL,NULL,NULL,NULL,NULL
Tonga,54.12719298,150.028,22.3,227.49,0.095587064
Trinidad and Tobago,63.73180653,266.886,36.2,228.467,2.362025759
Tunisia,54.76323733,74.228,32.7,318.991,2.572976
Turkey,50.30502904,104.914,31.6,171.285,0.625199228
Turkmenistan,62.48637931,12.253,26.9,536.783,NULL
Turks and Caicos Islands,NULL,37.312,NULL,NULL,0.571156592
Tuvalu,NULL,373.067,NULL,NULL,NULL
Uganda,60.52606345,213.759,16.4,213.333,2.142435337
Ukraine,60.30805621,77.39,41.4,539.849,2.199549042
United Arab Emirates,49.63906874,112.442,34,317.84,0.23498416
United Kingdom,51.13683685,272.898,40.8,122.137,0.78717854
United States,52.73228571,35.608,38.3,151.089,1.125682301
United States Virgin Islands,NULL,306.48,42.2,273.67,NULL
Uruguay,45.58173458,19.751,35.6,160.708,0.763073617
Uzbekistan,47.7529755,76.134,28.2,724.417,0.673213742
Vanuatu,33.49136143,22.662,23.1,546.3,0.119352089
Vatican,NULL,NULL,NULL,NULL,NULL
Venezuela,67.29848485,36.253,29,204.85,1.075014084
Vietnam,61.36887789,308.127,32.6,245.465,0.39964663
Wallis and Futuna,NULL,NULL,NULL,NULL,0.919842313
Western Sahara,NULL,NULL,28.4,NULL,NULL
Yemen,32.13772563,53.508,20.3,495.003,18.110634
Zambia,38.32914692,22.995,17.7,234.499,1.214550405
Zimbabwe,63.21529132,42.729,19.6,307.846,2.175481566
